date,adj
2007-01-02,2.2256226539611816
2007-01-03,2.2256226539611816
2007-01-04,2.2256226539611816
2007-01-05,2.2256226539611816
2007-01-08,2.2256226539611816
2007-01-09,2.2256226539611816
2007-01-10,2.2256226539611816
2007-01-11,2.2256226539611816
2007-01-12,2.2256226539611816
2007-01-15,2.2256226539611816
2007-01-16,2.2256226539611816
2007-01-17,2.2256226539611816
2007-01-18,2.2256226539611816
2007-01-19,2.2256226539611816
2007-01-22,2.2256226539611816
2007-01-23,2.2256226539611816
2007-01-24,2.2256226539611816
2007-01-25,2.2256226539611816
2007-01-29,2.2256226539611816
2007-01-31,2.2256226539611816
2007-02-01,2.2256226539611816
2007-02-02,2.2256226539611816
2007-02-05,2.2256226539611816
2007-02-06,2.2256226539611816
2007-02-07,2.2256226539611816
2007-02-08,2.2256226539611816
2007-02-09,2.2256226539611816
2007-02-12,2.2256226539611816
2007-02-13,2.2256226539611816
2007-02-14,2.2256226539611816
2007-02-15,2.2256226539611816
2007-02-19,2.2256226539611816
2007-02-20,2.2256226539611816
2007-02-21,2.2256226539611816
2007-02-22,2.2256226539611816
2007-02-23,2.2256226539611816
2007-02-26,2.2256226539611816
2007-02-27,2.2256226539611816
2007-02-28,2.2256226539611816
2007-03-01,2.2256226539611816
2007-03-02,2.2256226539611816
2007-03-05,2.2256226539611816
2007-03-06,2.2256226539611816
2007-03-07,2.2256226539611816
2007-03-08,2.2256226539611816
2007-03-09,2.2256226539611816
2007-03-12,2.2256226539611816
2007-03-13,2.2256226539611816
2007-03-14,2.2256226539611816
2007-03-15,2.2256226539611816
2007-03-16,2.2256226539611816
2007-03-19,2.2256226539611816
2007-03-20,2.2256226539611816
2007-03-21,2.2256226539611816
2007-03-22,2.2256226539611816
2007-03-23,2.2256226539611816
2007-03-26,2.2256226539611816
2007-03-28,2.2256226539611816
2007-03-29,2.2256226539611816
2007-03-30,2.2256226539611816
2007-04-02,2.2256226539611816
2007-04-03,2.2256226539611816
2007-04-04,2.2256226539611816
2007-04-05,2.2256226539611816
2007-04-09,2.2256226539611816
2007-04-10,2.2256226539611816
2007-04-11,2.2256226539611816
2007-04-12,2.2256226539611816
2007-04-13,2.2256226539611816
2007-04-16,2.2256226539611816
2007-04-17,2.2256226539611816
2007-04-18,2.2256226539611816
2007-04-19,2.2256226539611816
2007-04-20,2.2256226539611816
2007-04-23,2.2256226539611816
2007-04-24,2.2256226539611816
2007-04-25,2.2256226539611816
2007-04-26,2.2256226539611816
2007-04-27,2.2256226539611816
2007-04-30,2.2256226539611816
2007-05-03,2.2256226539611816
2007-05-04,2.2256226539611816
2007-05-07,2.2256226539611816
2007-05-08,2.2256226539611816
2007-05-09,2.2256226539611816
2007-05-10,2.2256226539611816
2007-05-11,2.2256226539611816
2007-05-14,2.2256226539611816
2007-05-15,2.2256226539611816
2007-05-16,2.2256226539611816
2007-05-17,2.2256226539611816
2007-05-18,2.2256226539611816
2007-05-21,2.2256226539611816
2007-05-22,2.2256226539611816
