bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,intimationType,ixbrl,ixbrlFileSize,meetingType,oriiginalMeetingDate,proposedMeetingDate
RELIABLE,30-May-2026,Board Meeting Intimation,RELIABLE DATA SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 30-May-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended March 2026 .,-,20-May-2026 13:28:23,Reliable Data Services Limited,INE375Y01018,00:00:03,20-May-2026 13:28:26,14.50 KB,https://nsearchives.nseindia.com/corporate/xbrl/RELIABLE_20052026_PRIOR_INTIMATION_WebXMLFile_20260520_132821361.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260520_132821_WEB.html,3.25 KB,,,
RELIABLE,30-May-2026,Financial Results,"To consider and approve the financial results for the period ended March 31, 2026",-,20-May-2026 13:27:24,Reliable Data Services Limited,INE375Y01018,00:00:00,20-May-2026 13:27:24,374.85 KB,https://nsearchives.nseindia.com/corporate/RELIABLE_20052026132706_notice.pdf,,,,,,
RELIABLE,14-Feb-2026,Board Meeting Intimation,RELIABLE DATA SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 14-Feb-2026 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2025 and Other business.,-,10-Feb-2026 14:39:49,Reliable Data Services Limited,INE375Y01018,00:00:02,10-Feb-2026 14:39:51,6.56 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_78858_1622297_10022026023947_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_78858_10022026143947_iXBRL_WEB.html,2.78 KB,,,
RELIABLE,14-Feb-2026,Financial Results,"To consider and approve the financial results for the period ended December 31, 2025",-,10-Feb-2026 14:38:23,Reliable Data Services Limited,INE375Y01018,00:00:00,10-Feb-2026 14:38:23,374.51 KB,https://nsearchives.nseindia.com/corporate/RELIABLE_10022026143644_priorintimationofboardmeeting.pdf,,,,,,
RELIABLE,14-Nov-2025,Board Meeting Intimation,RELIABLE DATA SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 14-Nov-2025 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended September 2025 and Other business.,-,05-Nov-2025 14:43:58,Reliable Data Services Limited,INE375Y01018,00:00:02,05-Nov-2025 14:44:00,6.43 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_70840_1565587_05112025024356_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_70840_05112025144356_iXBRL_WEB.html,2.78 KB,,,
RELIABLE,14-Nov-2025,Financial Results,"To consider and approve the financial results for the period ended September 30, 2025",-,05-Nov-2025 14:42:11,Reliable Data Services Limited,INE375Y01018,00:00:00,05-Nov-2025 14:42:11,373.05 KB,https://nsearchives.nseindia.com/corporate/RELIABLE_05112025144157_noticeofreliable.pdf,,,,,,
RELIABLE,23-Sep-2025,Board Meeting Intimation,RELIABLE DATA SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 23-Sep-2025 to consider Other business.,-,18-Sep-2025 16:18:09,Reliable Data Services Limited,INE375Y01018,00:00:03,18-Sep-2025 16:18:12,6.33 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_66486_1528756_18092025041807_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_66486_18092025161807_iXBRL_WEB.html,2.16 KB,,,
RELIABLE,23-Sep-2025,Other business matters,To consider other business matters,-,18-Sep-2025 16:15:29,Reliable Data Services Limited,INE375Y01018,00:00:00,18-Sep-2025 16:15:29,375.95 KB,https://nsearchives.nseindia.com/corporate/RELIABLE_18092025161422_notice.pdf,,,,,,
RELIABLE,14-Aug-2025,Board Meeting Intimation,RELIABLE DATA SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 14-Aug-2025 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended June 2025 and Other business.,-,05-Aug-2025 16:36:12,Reliable Data Services Limited,INE375Y01018,00:00:03,05-Aug-2025 16:36:15,6.43 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_62558_1502766_05082025043610_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_62558_05082025163610_iXBRL_WEB.html,2.77 KB,,,
RELIABLE,14-Aug-2025,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2025 and other business matters",-,05-Aug-2025 16:34:34,Reliable Data Services Limited,INE375Y01018,00:00:00,05-Aug-2025 16:34:34,198.07 KB,https://nsearchives.nseindia.com/corporate/RELIABLE_05082025163339_notice.pdf,,,,,,
